12.82;[0];[0, 1, 1];[];[0, 3];[3]
12.82;[0];[0, 1, 1];[0, 3];[];[3]
12.82;[0];[0, 1, 1];[0, 3];[3];[]
12.82;[0, 1];[];[0];[0, 3];[0, 1, 3]
12.82;[0, 1];[];[0, 1];[0, 3];[3]
12.82;[0, 1];[1];[0];[0, 3];[3]
12.82;[0, 1];[0];[0];[0, 1, 3];[3]
12.82;[0, 1];[0];[0, 3];[];[0, 1, 3]
12.82;[0, 1];[0];[0, 3];[1];[3]
12.82;[0, 1];[0];[0, 3];[3];[1]
12.82;[0, 1];[0];[0, 3];[0, 1, 3];[]
12.82;[0, 1];[0, 1];[0, 3];[];[3]
12.82;[0, 1];[0, 1];[0, 3];[3];[]
12.770000000000001;[];[0];[0, 2];[0, 1, 2];[3]
12.770000000000001;[];[0];[0, 2];[0, 3];[1, 2]
12.770000000000001;[0];[0];[0];[0, 1, 2];[0, 2, 3]
12.770000000000001;[0];[0];[0, 1];[0, 2];[0, 2, 3]
12.770000000000001;[0];[0];[0, 1, 2];[2];[3]
12.770000000000001;[0];[0];[0, 1, 2];[3];[2]
12.770000000000001;[0];[0];[0, 1, 2];[0];[0, 2, 3]
12.770000000000001;[0];[0];[0, 2];[0, 1];[0, 2, 3]
12.770000000000001;[0];[0];[0, 3];[1, 2];[2]
12.770000000000001;[0];[0];[0, 3];[2];[1, 2]
12.770000000000001;[0];[0, 1];[0];[0, 2];[0, 2, 3]
12.770000000000001;[0];[0, 1];[0, 2];[0];[0, 2, 3]
12.770000000000001;[0];[0, 2];[];[0, 1, 2];[3]
12.770000000000001;[0];[0, 2];[];[0, 3];[1, 2]
12.770000000000001;[0];[0, 2];[0];[0, 1];[0, 2, 3]
12.770000000000001;[0];[0, 2];[0, 1];[0];[0, 2, 3]
12.770000000000001;[0];[0, 2];[0, 1, 2];[];[3]
12.770000000000001;[0];[0, 2];[0, 1, 2];[3];[]
12.770000000000001;[0];[0, 2];[0, 3];[];[1, 2]
12.770000000000001;[0];[0, 2];[0, 3];[1, 2];[]
12.770000000000001;[0, 1];[0];[0];[0, 2];[0, 2, 3]
12.770000000000001;[0, 1];[0];[0, 2];[0];[0, 2, 3]
12.770000000000001;[0, 1];[0, 2];[0];[0];[0, 2, 3]
12.77;[];[0];[0, 1];[0, 3];[0, 2, 2]
12.77;[];[0];[0, 2];[0, 2];[0, 1, 3]
12.77;[];[0, 1];[0];[0, 3];[0, 2, 2]
12.77;[];[0, 1];[0, 2];[2];[0, 3]
12.77;[];[0, 1];[0, 2];[0, 3];[2]
12.77;[0];[0];[0];[0, 1, 3];[2, 2]
12.77;[0];[0];[0];[0, 2, 2];[1, 3]
12.77;[0];[0];[0];[0, 3];[0, 1, 2, 2]
12.77;[0];[0];[0, 1];[0, 2, 2];[3]
12.77;[0];[0];[0, 2];[0, 1, 3];[2]
12.77;[0];[0];[0, 3];[1];[0, 2, 2]
12.77;[0];[0];[0, 3];[0];[0, 1, 2, 2]
12.77;[0];[0];[0, 3];[0, 2, 2];[1]
12.77;[0];[0, 1];[0];[0, 2, 2];[3]
12.77;[0];[0, 1];[0, 3];[];[0, 2, 2]
12.77;[0];[0, 1];[0, 3];[2];[2]
12.77;[0];[0, 1];[0, 3];[0, 2, 2];[]
12.77;[0];[0, 2];[];[0, 2];[0, 1, 3]
12.77;[0];[0, 2];[1];[2];[0, 3]
12.77;[0];[0, 2];[1];[0, 3];[2]
12.77;[0];[0, 2];[2];[1];[0, 3]
12.77;[0];[0, 2];[2];[0];[0, 1, 3]
12.77;[0];[0, 2];[2];[0, 3];[1]
12.77;[0];[0, 2];[0];[0, 1, 3];[2]
12.77;[0];[0, 2];[0, 2];[0, 1, 3];[]
12.77;[0];[0, 2];[0, 3];[1];[2]
12.77;[0];[0, 2];[0, 3];[2];[1]
12.77;[0, 1];[];[0];[0, 3];[0, 2, 2]
12.77;[0, 1];[];[0, 2];[2];[0, 3]
12.77;[0, 1];[];[0, 2];[0, 3];[2]
12.77;[0, 1];[0];[0];[0, 2, 2];[3]
12.77;[0, 1];[0];[0, 3];[];[0, 2, 2]
12.77;[0, 1];[0];[0, 3];[2];[2]
12.77;[0, 1];[0];[0, 3];[0, 2, 2];[]
12.77;[0, 1];[0, 2];[];[2];[0, 3]
12.77;[0, 1];[0, 2];[];[0, 3];[2]
12.77;[0, 1];[0, 2];[2];[];[0, 3]
12.77;[0, 1];[0, 2];[2];[0, 3];[]
12.77;[0, 1];[0, 2];[0, 3];[];[2]
12.77;[0, 1];[0, 2];[0, 3];[2];[]
12.72;[];[0];[0, 2];[0, 2];[0, 2, 2]
12.72;[0];[0];[0];[0, 2, 2];[2, 2]
12.72;[0];[0];[0, 2];[0, 2, 2];[2]
12.72;[0];[0, 2];[];[0, 2];[0, 2, 2]
12.72;[0];[0, 2];[2];[2];[2]
12.72;[0];[0, 2];[2];[0];[0, 2, 2]
12.72;[0];[0, 2];[0];[0, 2, 2];[2]
12.72;[0];[0, 2];[0, 2];[0, 2, 2];[]
12.56;[0];[0];[0];[0, 1, 1];[0, 1, 1, 3]
12.56;[0];[0];[0, 1];[0, 1];[0, 1, 1, 3]
12.56;[0];[0];[0, 1, 1];[0];[0, 1, 1, 3]
12.56;[0];[0, 1];[0];[0, 1];[0, 1, 1, 3]
12.56;[0];[0, 1];[0, 1];[0];[0, 1, 1, 3]
12.56;[0];[0, 1, 1];[0];[0];[0, 1, 1, 3]
12.56;[0, 1];[0];[0];[0, 1];[0, 1, 1, 3]
12.56;[0, 1];[0];[0, 1];[0];[0, 1, 1, 3]
12.56;[0, 1];[0, 1];[0];[0];[0, 1, 1, 3]
12.559999999999999;[];[0];[0];[0, 1, 1, 1];[0, 1, 3]
12.559999999999999;[];[0];[0];[0, 3];[0, 1, 1, 1, 1]
12.559999999999999;[];[0];[0, 1];[0, 1, 1];[0, 1, 3]
12.559999999999999;[];[0];[0, 1];[0, 1, 1, 1];[3]
12.559999999999999;[];[0];[0, 1];[0, 3];[1, 1, 1]
12.559999999999999;[];[0];[0, 1, 1];[1, 1];[0, 3]
12.559999999999999;[];[0];[0, 1, 1];[0, 1];[0, 1, 3]
12.559999999999999;[];[0];[0, 1, 1];[0, 3];[1, 1]
12.559999999999999;[];[0, 1];[1];[0, 1, 1];[0, 3]
12.559999999999999;[];[0, 1];[0];[0, 1, 1];[0, 1, 3]
12.559999999999999;[];[0, 1];[0];[0, 1, 1, 1];[3]
12.559999999999999;[];[0, 1];[0];[0, 3];[1, 1, 1]
12.559999999999999;[];[0, 1];[0, 1];[0, 1];[0, 1, 3]
12.559999999999999;[];[0, 1];[0, 1];[0, 3];[1, 1]
12.559999999999999;[];[0, 1];[0, 1, 1];[1];[0, 3]
12.559999999999999;[];[0, 1];[0, 1, 1];[0];[0, 1, 3]
12.559999999999999;[];[0, 1];[0, 1, 1];[0, 3];[1]
12.559999999999999;[0];[0];[0];[0, 1, 1, 1, 1];[3]
12.559999999999999;[0];[0];[0];[0, 1, 3];[1, 1, 1]
12.559999999999999;[0];[0];[0, 1];[0, 1, 3];[1, 1]
12.559999999999999;[0];[0];[0, 1, 1];[0, 1, 3];[1]
12.559999999999999;[0];[0];[0, 1, 1, 1];[];[0, 1, 3]
12.559999999999999;[0];[0];[0, 1, 1, 1];[1];[3]
12.559999999999999;[0];[0];[0, 1, 1, 1];[3];[1]
12.559999999999999;[0];[0];[0, 1, 1, 1];[0, 1, 3];[]
12.559999999999999;[0];[0];[0, 3];[];[0, 1, 1, 1, 1]
12.559999999999999;[0];[0];[0, 3];[1];[1, 1, 1]
12.559999999999999;[0];[0];[0, 3];[1, 1];[1, 1]
12.559999999999999;[0];[0];[0, 3];[1, 1, 1];[1]
12.559999999999999;[0];[0];[0, 3];[0, 1, 1, 1, 1];[]
12.559999999999999;[0];[0, 1];[0];[0, 1, 3];[1, 1]
12.559999999999999;[0];[0, 1];[0, 1];[0, 1, 3];[1]
12.559999999999999;[0];[0, 1];[0, 1, 1];[0, 1, 3];[]
12.559999999999999;[0];[0, 1];[0, 1, 1, 1];[];[3]
12.559999999999999;[0];[0, 1];[0, 1, 1, 1];[3];[]
12.559999999999999;[0];[0, 1];[0, 3];[];[1, 1, 1]
12.559999999999999;[0];[0, 1];[0, 3];[1];[1, 1]
12.559999999999999;[0];[0, 1];[0, 3];[1, 1];[1]
12.559999999999999;[0];[0, 1];[0, 3];[1, 1, 1];[]
12.559999999999999;[0];[0, 1, 1];[];[1, 1];[0, 3]
12.559999999999999;[0];[0, 1, 1];[];[0, 1];[0, 1, 3]
12.559999999999999;[0];[0, 1, 1];[];[0, 3];[1, 1]
12.559999999999999;[0];[0, 1, 1];[1];[1];[0, 3]
12.559999999999999;[0];[0, 1, 1];[1];[0];[0, 1, 3]
12.559999999999999;[0];[0, 1, 1];[1];[0, 3];[1]
12.559999999999999;[0];[0, 1, 1];[1, 1];[];[0, 3]
12.559999999999999;[0];[0, 1, 1];[1, 1];[0, 3];[]
12.559999999999999;[0];[0, 1, 1];[0];[0, 1, 3];[1]
12.559999999999999;[0];[0, 1, 1];[0, 1];[0, 1, 3];[]
12.559999999999999;[0];[0, 1, 1];[0, 3];[];[1, 1]
12.559999999999999;[0];[0, 1, 1];[0, 3];[1];[1]
12.559999999999999;[0];[0, 1, 1];[0, 3];[1, 1];[]
12.559999999999999;[0, 1];[];[1];[0, 1, 1];[0, 3]
12.559999999999999;[0, 1];[];[0];[0, 1, 1];[0, 1, 3]
12.559999999999999;[0, 1];[];[0];[0, 1, 1, 1];[3]
12.559999999999999;[0, 1];[];[0];[0, 3];[1, 1, 1]
12.559999999999999;[0, 1];[];[0, 1];[0, 1];[0, 1, 3]
12.559999999999999;[0, 1];[];[0, 1];[0, 3];[1, 1]
12.559999999999999;[0, 1];[];[0, 1, 1];[1];[0, 3]
12.559999999999999;[0, 1];[];[0, 1, 1];[0];[0, 1, 3]
12.559999999999999;[0, 1];[];[0, 1, 1];[0, 3];[1]
12.559999999999999;[0, 1];[1];[];[0, 1, 1];[0, 3]
12.559999999999999;[0, 1];[1];[1];[0, 1];[0, 3]
12.559999999999999;[0, 1];[1];[0];[0, 1];[0, 1, 3]
12.559999999999999;[0, 1];[1];[0];[0, 3];[1, 1]
12.559999999999999;[0, 1];[1];[0, 1];[0];[0, 1, 3]
12.559999999999999;[0, 1];[1];[0, 1];[0, 3];[1]
12.559999999999999;[0, 1];[1];[0, 1, 1];[];[0, 3]
12.559999999999999;[0, 1];[1];[0, 1, 1];[0, 3];[]
12.559999999999999;[0, 1];[0];[0];[0, 1, 3];[1, 1]
12.559999999999999;[0, 1];[0];[0, 1];[0, 1, 3];[1]
12.559999999999999;[0, 1];[0];[0, 1, 1];[0, 1, 3];[]
12.559999999999999;[0, 1];[0];[0, 1, 1, 1];[];[3]
12.559999999999999;[0, 1];[0];[0, 1, 1, 1];[3];[]
12.559999999999999;[0, 1];[0];[0, 3];[];[1, 1, 1]
12.559999999999999;[0, 1];[0];[0, 3];[1];[1, 1]
12.559999999999999;[0, 1];[0];[0, 3];[1, 1];[1]
12.559999999999999;[0, 1];[0];[0, 3];[1, 1, 1];[]
12.559999999999999;[0, 1];[0, 1];[0];[0, 1, 3];[1]
12.559999999999999;[0, 1];[0, 1];[0, 1];[0, 1, 3];[]
12.559999999999999;[0, 1];[0, 1];[0, 3];[];[1, 1]
12.559999999999999;[0, 1];[0, 1];[0, 3];[1];[1]
12.559999999999999;[0, 1];[0, 1];[0, 3];[1, 1];[]
12.559999999999999;[0, 1];[0, 1, 1];[];[1];[0, 3]
12.559999999999999;[0, 1];[0, 1, 1];[];[0];[0, 1, 3]
12.559999999999999;[0, 1];[0, 1, 1];[];[0, 3];[1]
12.559999999999999;[0, 1];[0, 1, 1];[1];[];[0, 3]
12.559999999999999;[0, 1];[0, 1, 1];[1];[0, 3];[]
12.559999999999999;[0, 1];[0, 1, 1];[0];[0, 1, 3];[]
12.559999999999999;[0, 1];[0, 1, 1];[0, 3];[];[1]
12.559999999999999;[0, 1];[0, 1, 1];[0, 3];[1];[]
12.510000000000002;[];[0];[0, 1];[0, 1, 2];[1, 2]
12.510000000000002;[];[0, 1];[0];[0, 1, 2];[1, 2]
12.510000000000002;[0];[0];[0, 1, 2];[1];[1, 2]
12.510000000000002;[0];[0];[0, 1, 2];[1, 2];[1]
12.510000000000002;[0];[0, 1];[0, 1, 2];[];[1, 2]
12.510000000000002;[0];[0, 1];[0, 1, 2];[1, 2];[]
12.510000000000002;[0, 1];[];[0];[0, 1, 2];[1, 2]
12.510000000000002;[0, 1];[0];[0, 1, 2];[];[1, 2]
12.510000000000002;[0, 1];[0];[0, 1, 2];[1, 2];[]
12.51;[];[0];[0];[0, 1, 1, 1];[0, 2, 2]
12.51;[];[0];[0];[0, 1, 2];[0, 1, 1, 2]
12.51;[];[0];[0, 1];[0, 1, 1];[0, 2, 2]
12.51;[];[0];[0, 1];[0, 2];[0, 1, 1, 2]
12.51;[];[0];[0, 1, 1];[2];[0, 1, 2]
12.51;[];[0];[0, 1, 1];[0, 1];[0, 2, 2]
12.51;[];[0];[0, 1, 1];[0, 1, 2];[2]
12.51;[];[0];[0, 2];[1, 1];[0, 1, 2]
12.51;[];[0];[0, 2];[2];[0, 1, 1, 1]
12.51;[];[0];[0, 2];[0, 1];[0, 1, 1, 2]
12.51;[];[0];[0, 2];[0, 1, 1, 1];[2]
12.51;[];[0];[0, 2];[0, 1, 2];[1, 1]
12.51;[];[0, 1];[1];[0, 2];[0, 1, 2]
12.51;[];[0, 1];[0];[0, 1, 1];[0, 2, 2]
12.51;[];[0, 1];[0];[0, 2];[0, 1, 1, 2]
12.51;[];[0, 1];[0, 1];[0, 1];[0, 2, 2]
12.51;[];[0, 1];[0, 1];[0, 1, 2];[2]
12.51;[];[0, 1];[0, 1, 1];[2];[2]
12.51;[];[0, 1];[0, 1, 1];[0];[0, 2, 2]
12.51;[];[0, 1];[0, 2];[1];[0, 1, 2]
12.51;[];[0, 1];[0, 2];[1, 1];[2]
12.51;[];[0, 1];[0, 2];[2];[1, 1]
12.51;[];[0, 1];[0, 2];[0];[0, 1, 1, 2]
12.51;[];[0, 1];[0, 2];[0, 1, 2];[1]
12.51;[0];[0];[0];[0, 1, 1];[0, 1, 2, 2]
12.51;[0];[0];[0];[0, 1, 1, 2];[1, 2]
12.51;[0];[0];[0];[0, 2];[0, 1, 1, 1, 2]
12.51;[0];[0];[0];[0, 2, 2];[1, 1, 1]
12.51;[0];[0];[0, 1];[0, 1];[0, 1, 2, 2]
12.51;[0];[0];[0, 1];[0, 1, 1, 2];[2]
12.51;[0];[0];[0, 1];[0, 2, 2];[1, 1]
12.51;[0];[0];[0, 1, 1];[0];[0, 1, 2, 2]
12.51;[0];[0];[0, 1, 1];[0, 2, 2];[1]
12.51;[0];[0];[0, 1, 1, 1];[];[0, 2, 2]
12.51;[0];[0];[0, 1, 1, 1];[2];[2]
12.51;[0];[0];[0, 1, 1, 1];[0, 2, 2];[]
12.51;[0];[0];[0, 1, 2];[];[0, 1, 1, 2]
12.51;[0];[0];[0, 1, 2];[1, 1];[2]
12.51;[0];[0];[0, 1, 2];[2];[1, 1]
12.51;[0];[0];[0, 1, 2];[0, 1, 1, 2];[]
12.51;[0];[0];[0, 2];[0];[0, 1, 1, 1, 2]
12.51;[0];[0];[0, 2];[0, 1, 1, 2];[1]
12.51;[0];[0, 1];[0];[0, 1];[0, 1, 2, 2]
12.51;[0];[0, 1];[0];[0, 1, 1, 2];[2]
12.51;[0];[0, 1];[0];[0, 2, 2];[1, 1]
12.51;[0];[0, 1];[0, 1];[0];[0, 1, 2, 2]
12.51;[0];[0, 1];[0, 1];[0, 2, 2];[1]
12.51;[0];[0, 1];[0, 1, 1];[0, 2, 2];[]
12.51;[0];[0, 1];[0, 1, 2];[1];[2]
12.51;[0];[0, 1];[0, 1, 2];[2];[1]
12.51;[0];[0, 1];[0, 2];[0, 1, 1, 2];[]
12.51;[0];[0, 1, 1];[];[2];[0, 1, 2]
12.51;[0];[0, 1, 1];[];[0, 1];[0, 2, 2]
12.51;[0];[0, 1, 1];[];[0, 1, 2];[2]
12.51;[0];[0, 1, 1];[1];[2];[2]
12.51;[0];[0, 1, 1];[1];[0];[0, 2, 2]
12.51;[0];[0, 1, 1];[2];[];[0, 1, 2]
12.51;[0];[0, 1, 1];[2];[1];[2]
12.51;[0];[0, 1, 1];[2];[2];[1]
12.51;[0];[0, 1, 1];[2];[0, 1, 2];[]
12.51;[0];[0, 1, 1];[0];[0];[0, 1, 2, 2]
12.51;[0];[0, 1, 1];[0];[0, 2, 2];[1]
12.51;[0];[0, 1, 1];[0, 1];[0, 2, 2];[]
12.51;[0];[0, 1, 1];[0, 1, 2];[];[2]
12.51;[0];[0, 1, 1];[0, 1, 2];[2];[]
12.51;[0];[0, 2];[];[1, 1];[0, 1, 2]
12.51;[0];[0, 2];[];[2];[0, 1, 1, 1]
12.51;[0];[0, 2];[];[0, 1];[0, 1, 1, 2]
12.51;[0];[0, 2];[];[0, 1, 1, 1];[2]
12.51;[0];[0, 2];[];[0, 1, 2];[1, 1]
12.51;[0];[0, 2];[1];[1];[0, 1, 2]
12.51;[0];[0, 2];[1];[1, 1];[2]
12.51;[0];[0, 2];[1];[2];[1, 1]
12.51;[0];[0, 2];[1];[0];[0, 1, 1, 2]
12.51;[0];[0, 2];[1];[0, 1, 2];[1]
12.51;[0];[0, 2];[1, 1];[];[0, 1, 2]
12.51;[0];[0, 2];[1, 1];[1];[2]
12.51;[0];[0, 2];[1, 1];[2];[1]
12.51;[0];[0, 2];[1, 1];[0, 1, 2];[]
12.51;[0];[0, 2];[2];[];[0, 1, 1, 1]
12.51;[0];[0, 2];[2];[1];[1, 1]
12.51;[0];[0, 2];[2];[1, 1];[1]
12.51;[0];[0, 2];[2];[0, 1, 1, 1];[]
12.51;[0];[0, 2];[0];[0];[0, 1, 1, 1, 2]
12.51;[0];[0, 2];[0];[0, 1, 1, 2];[1]
12.51;[0];[0, 2];[0, 1];[0, 1, 1, 2];[]
12.51;[0];[0, 2];[0, 1, 1, 1];[];[2]
12.51;[0];[0, 2];[0, 1, 1, 1];[2];[]
12.51;[0];[0, 2];[0, 1, 2];[];[1, 1]
12.51;[0];[0, 2];[0, 1, 2];[1];[1]
12.51;[0];[0, 2];[0, 1, 2];[1, 1];[]
12.51;[0, 1];[];[1];[0, 2];[0, 1, 2]
12.51;[0, 1];[];[0];[0, 1, 1];[0, 2, 2]
12.51;[0, 1];[];[0];[0, 2];[0, 1, 1, 2]
12.51;[0, 1];[];[0, 1];[0, 1];[0, 2, 2]
12.51;[0, 1];[];[0, 1];[0, 1, 2];[2]
12.51;[0, 1];[];[0, 1, 1];[2];[2]
12.51;[0, 1];[];[0, 1, 1];[0];[0, 2, 2]
12.51;[0, 1];[];[0, 2];[1];[0, 1, 2]
12.51;[0, 1];[];[0, 2];[1, 1];[2]
12.51;[0, 1];[];[0, 2];[2];[1, 1]
12.51;[0, 1];[];[0, 2];[0];[0, 1, 1, 2]
12.51;[0, 1];[];[0, 2];[0, 1, 2];[1]
12.51;[0, 1];[1];[];[0, 2];[0, 1, 2]
12.51;[0, 1];[1];[1];[0, 2];[2]
12.51;[0, 1];[1];[0];[0, 1];[0, 2, 2]
12.51;[0, 1];[1];[0];[0, 1, 2];[2]
12.51;[0, 1];[1];[0, 1];[0];[0, 2, 2]
12.51;[0, 1];[1];[0, 2];[];[0, 1, 2]
12.51;[0, 1];[1];[0, 2];[1];[2]
12.51;[0, 1];[1];[0, 2];[2];[1]
12.51;[0, 1];[1];[0, 2];[0, 1, 2];[]
12.51;[0, 1];[0];[0];[0, 1];[0, 1, 2, 2]
12.51;[0, 1];[0];[0];[0, 1, 1, 2];[2]
12.51;[0, 1];[0];[0];[0, 2, 2];[1, 1]
12.51;[0, 1];[0];[0, 1];[0];[0, 1, 2, 2]
12.51;[0, 1];[0];[0, 1];[0, 2, 2];[1]
12.51;[0, 1];[0];[0, 1, 1];[0, 2, 2];[]
12.51;[0, 1];[0];[0, 1, 2];[1];[2]
12.51;[0, 1];[0];[0, 1, 2];[2];[1]
12.51;[0, 1];[0];[0, 2];[0, 1, 1, 2];[]
12.51;[0, 1];[0, 1];[0];[0];[0, 1, 2, 2]
12.51;[0, 1];[0, 1];[0];[0, 2, 2];[1]
12.51;[0, 1];[0, 1];[0, 1];[0, 2, 2];[]
12.51;[0, 1];[0, 1];[0, 1, 2];[];[2]
12.51;[0, 1];[0, 1];[0, 1, 2];[2];[]
12.51;[0, 1];[0, 1, 1];[];[2];[2]
12.51;[0, 1];[0, 1, 1];[];[0];[0, 2, 2]
12.51;[0, 1];[0, 1, 1];[2];[];[2]
12.51;[0, 1];[0, 1, 1];[2];[2];[]
12.51;[0, 1];[0, 1, 1];[0];[0, 2, 2];[]
12.51;[0, 1];[0, 2];[];[1];[0, 1, 2]
12.51;[0, 1];[0, 2];[];[1, 1];[2]
12.51;[0, 1];[0, 2];[];[2];[1, 1]
12.51;[0, 1];[0, 2];[];[0];[0, 1, 1, 2]
12.51;[0, 1];[0, 2];[];[0, 1, 2];[1]
12.51;[0, 1];[0, 2];[1];[];[0, 1, 2]
12.51;[0, 1];[0, 2];[1];[1];[2]
12.51;[0, 1];[0, 2];[1];[2];[1]
12.51;[0, 1];[0, 2];[1];[0, 1, 2];[]
12.51;[0, 1];[0, 2];[1, 1];[];[2]
12.51;[0, 1];[0, 2];[1, 1];[2];[]
12.51;[0, 1];[0, 2];[2];[];[1, 1]
12.51;[0, 1];[0, 2];[2];[1];[1]
12.51;[0, 1];[0, 2];[2];[1, 1];[]
12.51;[0, 1];[0, 2];[0];[0, 1, 1, 2];[]
12.51;[0, 1];[0, 2];[0, 1, 2];[];[1]
12.51;[0, 1];[0, 2];[0, 1, 2];[1];[]
12.3;[0];[0];[0];[0, 1];[0, 1, 1, 1, 1, 1]
12.3;[0];[0];[0, 1];[0];[0, 1, 1, 1, 1, 1]
12.3;[0];[0, 1];[0];[0];[0, 1, 1, 1, 1, 1]
12.3;[0, 1];[0];[0];[0];[0, 1, 1, 1, 1, 1]
12.299999999999999;[];[];[0, 1];[0, 1, 1];[0, 1, 1, 1]
12.299999999999999;[];[0];[0];[0, 1, 1];[0, 1, 1, 1, 1]
12.299999999999999;[];[0];[0];[0, 1, 1, 1];[1, 1, 1]
12.299999999999999;[];[0];[0, 1];[0, 1];[0, 1, 1, 1, 1]
12.299999999999999;[];[0];[0, 1];[0, 1, 1, 1];[1, 1]
12.299999999999999;[];[0];[0, 1, 1];[1];[0, 1, 1, 1]
12.299999999999999;[];[0];[0, 1, 1];[1, 1];[1, 1]
12.299999999999999;[];[0];[0, 1, 1];[0];[0, 1, 1, 1, 1]
12.299999999999999;[];[0];[0, 1, 1];[0, 1, 1, 1];[1]
12.299999999999999;[];[0, 1];[];[0, 1, 1];[0, 1, 1, 1]
12.299999999999999;[];[0, 1];[1];[0, 1];[0, 1, 1, 1]
12.299999999999999;[];[0, 1];[1];[0, 1, 1];[1, 1]
12.299999999999999;[];[0, 1];[0];[0, 1];[0, 1, 1, 1, 1]
12.299999999999999;[];[0, 1];[0];[0, 1, 1, 1];[1, 1]
12.299999999999999;[];[0, 1];[0, 1];[0];[0, 1, 1, 1, 1]
12.299999999999999;[];[0, 1];[0, 1];[0, 1, 1, 1];[1]
12.299999999999999;[];[0, 1];[0, 1, 1];[];[0, 1, 1, 1]
12.299999999999999;[];[0, 1];[0, 1, 1];[1];[1, 1]
12.299999999999999;[];[0, 1];[0, 1, 1];[1, 1];[1]
12.299999999999999;[];[0, 1];[0, 1, 1];[0, 1, 1, 1];[]
12.299999999999999;[0];[0];[0];[0, 1, 1, 1, 1];[1, 1]
12.299999999999999;[0];[0];[0, 1];[0, 1, 1, 1, 1];[1]
12.299999999999999;[0];[0];[0, 1, 1];[0, 1, 1, 1, 1];[]
12.299999999999999;[0];[0];[0, 1, 1, 1];[];[1, 1, 1]
12.299999999999999;[0];[0];[0, 1, 1, 1];[1];[1, 1]
12.299999999999999;[0];[0];[0, 1, 1, 1];[1, 1];[1]
12.299999999999999;[0];[0];[0, 1, 1, 1];[1, 1, 1];[]
12.299999999999999;[0];[0, 1];[0];[0, 1, 1, 1, 1];[1]
12.299999999999999;[0];[0, 1];[0, 1];[0, 1, 1, 1, 1];[]
12.299999999999999;[0];[0, 1];[0, 1, 1, 1];[];[1, 1]
12.299999999999999;[0];[0, 1];[0, 1, 1, 1];[1];[1]
12.299999999999999;[0];[0, 1];[0, 1, 1, 1];[1, 1];[]
12.299999999999999;[0];[0, 1, 1];[];[1];[0, 1, 1, 1]
12.299999999999999;[0];[0, 1, 1];[];[1, 1];[1, 1]
12.299999999999999;[0];[0, 1, 1];[];[0];[0, 1, 1, 1, 1]
12.299999999999999;[0];[0, 1, 1];[];[0, 1, 1, 1];[1]
12.299999999999999;[0];[0, 1, 1];[1];[];[0, 1, 1, 1]
12.299999999999999;[0];[0, 1, 1];[1];[1];[1, 1]
12.299999999999999;[0];[0, 1, 1];[1];[1, 1];[1]
12.299999999999999;[0];[0, 1, 1];[1];[0, 1, 1, 1];[]
12.299999999999999;[0];[0, 1, 1];[1, 1];[];[1, 1]
12.299999999999999;[0];[0, 1, 1];[1, 1];[1];[1]
12.299999999999999;[0];[0, 1, 1];[1, 1];[1, 1];[]
12.299999999999999;[0];[0, 1, 1];[0];[0, 1, 1, 1, 1];[]
12.299999999999999;[0];[0, 1, 1];[0, 1, 1, 1];[];[1]
12.299999999999999;[0];[0, 1, 1];[0, 1, 1, 1];[1];[]
12.299999999999999;[0, 1];[];[];[0, 1, 1];[0, 1, 1, 1]
12.299999999999999;[0, 1];[];[1];[0, 1];[0, 1, 1, 1]
12.299999999999999;[0, 1];[];[1];[0, 1, 1];[1, 1]
12.299999999999999;[0, 1];[];[0];[0, 1];[0, 1, 1, 1, 1]
12.299999999999999;[0, 1];[];[0];[0, 1, 1, 1];[1, 1]
12.299999999999999;[0, 1];[];[0, 1];[0];[0, 1, 1, 1, 1]
12.299999999999999;[0, 1];[];[0, 1];[0, 1, 1, 1];[1]
12.299999999999999;[0, 1];[];[0, 1, 1];[];[0, 1, 1, 1]
12.299999999999999;[0, 1];[];[0, 1, 1];[1];[1, 1]
12.299999999999999;[0, 1];[];[0, 1, 1];[1, 1];[1]
12.299999999999999;[0, 1];[];[0, 1, 1];[0, 1, 1, 1];[]
12.299999999999999;[0, 1];[1];[];[0, 1];[0, 1, 1, 1]
12.299999999999999;[0, 1];[1];[];[0, 1, 1];[1, 1]
12.299999999999999;[0, 1];[1];[1];[1];[0, 1, 1]
12.299999999999999;[0, 1];[1];[1];[0];[0, 1, 1, 1]
12.299999999999999;[0, 1];[1];[1];[0, 1, 1];[1]
12.299999999999999;[0, 1];[1];[0];[0];[0, 1, 1, 1, 1]
12.299999999999999;[0, 1];[1];[0];[0, 1, 1, 1];[1]
12.299999999999999;[0, 1];[1];[0, 1];[0, 1, 1, 1];[]
12.299999999999999;[0, 1];[1];[0, 1, 1];[];[1, 1]
12.299999999999999;[0, 1];[1];[0, 1, 1];[1];[1]
12.299999999999999;[0, 1];[1];[0, 1, 1];[1, 1];[]
12.299999999999999;[0, 1];[0];[0];[0, 1, 1, 1, 1];[1]
12.299999999999999;[0, 1];[0];[0, 1];[0, 1, 1, 1, 1];[]
12.299999999999999;[0, 1];[0];[0, 1, 1, 1];[];[1, 1]
12.299999999999999;[0, 1];[0];[0, 1, 1, 1];[1];[1]
12.299999999999999;[0, 1];[0];[0, 1, 1, 1];[1, 1];[]
12.299999999999999;[0, 1];[0, 1];[0];[0, 1, 1, 1, 1];[]
12.299999999999999;[0, 1];[0, 1];[0, 1, 1, 1];[];[1]
